"DSQTMFAT.Code.or.Value","DSQTMFAT.Value.Description","DSQTMFAT.Count","DSQTMFAT.Cumulative","DSQTMFAT.Skip.to.Item"
"0.01 to 6","Range of Values",80,80,NA
".","Missing",9174,9254,NA
