"TYXP049.Code.or.Value","TYXP049.Value.Description","TYXP049.Count","TYXP049.Cumulative","TYXP049.Skip.to.Item"
"-93 to 156","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
