"BIXS083K.Code.or.Value","BIXS083K.Value.Description","BIXS083K.Count","BIXS083K.Cumulative","BIXS083K.Skip.to.Item"
"156.82 to 947.84","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
