"URDUDALC.Code.or.Value","URDUDALC.Value.Description","URDUDALC.Count","URDUDALC.Cumulative","URDUDALC.Skip.to.Item"
"0","At or above the detection limlt",2031,2031,NA
"1","Below lower detection limit",486,2517,NA
".","Missing",77,2594,NA
