"DS2TSELE.Code.or.Value","DS2TSELE.Value.Description","DS2TSELE.Count","DS2TSELE.Cumulative","DS2TSELE.Skip.to.Item"
"1 to 510","Range of Values",1001,1001,NA
".","Missing",8812,9813,NA
