"VIQ130.Code.or.Value","VIQ130.Value.Description","VIQ130.Count","VIQ130.Cumulative","VIQ130.Skip.to.Item"
"1","Yes",0,0,""
"2","No",6450,6450,"VIQ150"
".","Missing",308,6758,""
