"LBC180LA.Code.or.Value","LBC180LA.Value.Description","LBC180LA.Count","LBC180LA.Cumulative","LBC180LA.Skip.to.Item"
"0.5674 to 112.5","Range of Values",251,251,NA
".","Missing",0,251,NA
