"BMITRI.Code.or.Value","BMITRI.Value.Description","BMITRI.Count","BMITRI.Cumulative","BMITRI.Skip.to.Item"
"1","Could not obtain",712,712,NA
"2","Exceeds capacity",183,895,NA
"3","Hard to obtain",0,895,NA
".","Missing",9055,9950,NA
