"VIXKLCG.Code.or.Value","VIXKLCG.Value.Description","VIXKLCG.Count","VIXKLCG.Cumulative","VIXKLCG.Skip.to.Item"
"0 to 180","Range of Values",6451,6451,NA
"888","Could not obtain",42,6493,NA
".","Missing",497,6990,NA
