"DRD350CQ.Code.or.Value","DRD350CQ.Value.Description","DRD350CQ.Count","DRD350CQ.Cumulative","DRD350CQ.Skip.to.Item"
"1 to 15","Range of Values",77,77,NA
".","Missing",9685,9762,NA
