"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2444,2444,NA
"1","Below lower detection limit",22,2466,NA
".","Missing",85,2551,NA
