"VTQ250B.Code.or.Value","VTQ250B.Value.Description","VTQ250B.Count","VTQ250B.Cumulative","VTQ250B.Skip.to.Item"
"2 to 72","Range of Values",134,134,NA
"777","Refused",0,134,NA
"999","Don't know",0,134,NA
".","Missing",3411,3545,NA
