"CBQ700.Code.or.Value","CBQ700.Value.Description","CBQ700.Count","CBQ700.Cumulative","CBQ700.Skip.to.Item"
"1","Always",1573,1573,NA
"2","Most of the time",509,2082,NA
"3","Sometimes",233,2315,NA
"4","Rarely",79,2394,NA
"5","Never",52,2446,NA
"6","Never seen",0,2446,NA
"7","Refused",0,2446,NA
"9","Don't know",0,2446,NA
".","Missing",499,2945,NA
