"VTQ270B.Code.or.Value","VTQ270B.Value.Description","VTQ270B.Count","VTQ270B.Cumulative","VTQ270B.Skip.to.Item"
"1 to 54","Range of Values",1165,1165,NA
".","Missing",324,1489,NA
