"SMD100CO.Code.or.Value","SMD100CO.Value.Description","SMD100CO.Count","SMD100CO.Cumulative","SMD100CO.Skip.to.Item"
"1 to 19","Range of Values",934,934,NA
".","Missing",6211,7145,NA
