"DS1TVB2.Code.or.Value","DS1TVB2.Value.Description","DS1TVB2.Count","DS1TVB2.Cumulative","DS1TVB2.Skip.to.Item"
"0 to 200","Range of Values",1638,1638,NA
".","Missing",8615,10253,NA
