"WBXF033.Code.or.Value","WBXF033.Value.Description","WBXF033.Count","WBXF033.Cumulative","WBXF033.Skip.to.Item"
"943.8743 to 943.8743","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
