"DXDTRBMD.Code.or.Value","DXDTRBMD.Value.Description","DXDTRBMD.Count","DXDTRBMD.Cumulative","DXDTRBMD.Skip.to.Item"
"0.432 to 1.929","Range of Values",5297,5297,NA
".","Missing",736,6033,NA
