"DR1TFDFE.Code.or.Value","DR1TFDFE.Value.Description","DR1TFDFE.Count","DR1TFDFE.Cumulative","DR1TFDFE.Skip.to.Item"
"0 to 6855","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
