"PAQ724c.Code.or.Value","PAQ724c.Value.Description","PAQ724c.Count","PAQ724c.Cumulative","PAQ724c.Skip.to.Item"
"3","BASKETBALL",443,443,NA
".","Missing",9041,9484,NA
