"URXCYM.Code.or.Value","URXCYM.Value.Description","URXCYM.Count","URXCYM.Cumulative","URXCYM.Skip.to.Item"
"0.354 to 1600","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
