"OSD110a.Code.or.Value","OSD110a.Value.Description","OSD110a.Count","OSD110a.Cumulative","OSD110a.Skip.to.Item"
"20 to 78","Range of Values",371,371,NA
"80","80 or older",5,376,NA
"777","Refused",0,376,NA
"999","Don't know",2,378,NA
".","Missing",5557,5935,NA
