"LEALBUN.Code.or.Value","LEALBUN.Value.Description","LEALBUN.Count","LEALBUN.Cumulative","LEALBUN.Skip.to.Item"
"1","Yes",324,324,NA
"2","No",2313,2637,NA
"8","Could not obtain",6,2643,NA
".","Missing",232,2875,NA
