"CBQ570.Code.or.Value","CBQ570.Value.Description","CBQ570.Count","CBQ570.Cumulative","CBQ570.Skip.to.Item"
"1","Yes",2707,2707,NA
"2","No",1533,4240,NA
"7","Refused",0,4240,NA
"9","Don't know",15,4255,NA
".","Missing",2144,6399,NA
