"WHQ100h.Code.or.Value","WHQ100h.Value.Description","WHQ100h.Count","WHQ100h.Cumulative","WHQ100h.Skip.to.Item"
"17","Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous",49,49,NA
".","Missing",5995,6044,NA
