"LBDPCT.Code.or.Value","LBDPCT.Value.Description","LBDPCT.Count","LBDPCT.Cumulative","LBDPCT.Skip.to.Item"
"1.6 to 86.2","Range of Values",2904,2904,NA
".","Missing",334,3238,NA
