"SSFOL.Code.or.Value","SSFOL.Value.Description","SSFOL.Count","SSFOL.Cumulative","SSFOL.Skip.to.Item"
"0 to 120.38747074","Range of Values",1253,1253,NA
".","Missing",0,1253,NA
