"PAD460.Code.or.Value","PAD460.Value.Description","PAD460.Count","PAD460.Cumulative","PAD460.Skip.to.Item"
"1 to 300","Range of Values",2252,2252,NA
"77777","Refused",0,2252,NA
"99999","Don't know",0,2252,NA
".","Missing",6936,9188,NA
