"SSMPFOS.Code.or.Value","SSMPFOS.Value.Description","SSMPFOS.Count","SSMPFOS.Cumulative","SSMPFOS.Skip.to.Item"
"0.07 to 133","Range of Values",1954,1954,NA
".","Missing",0,1954,NA
