"DS1TCHL.Code.or.Value","DS1TCHL.Value.Description","DS1TCHL.Count","DS1TCHL.Cumulative","DS1TCHL.Skip.to.Item"
"0 to 396","Range of Values",422,422,NA
".","Missing",9340,9762,NA
