"TYXP004.Code.or.Value","TYXP004.Value.Description","TYXP004.Count","TYXP004.Cumulative","TYXP004.Skip.to.Item"
"73 to 199","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
