"URXOP5.Code.or.Value","URXOP5.Value.Description","URXOP5.Count","URXOP5.Cumulative","URXOP5.Skip.to.Item"
"0.07 to 80.51","Range of Values",2458,2458,NA
".","Missing",154,2612,NA
