"AUXRR257.Code.or.Value","AUXRR257.Value.Description","AUXRR257.Count","AUXRR257.Cumulative","AUXRR257.Skip.to.Item"
"-57 to 59","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
