"LBDODTLC.Code.or.Value","LBDODTLC.Value.Description","LBDODTLC.Count","LBDODTLC.Cumulative","LBDODTLC.Skip.to.Item"
"0","At or above the detection limit",62,62,NA
"1","Below lower detection limit",185,247,NA
".","Missing",0,247,NA
