"ENQ020.Code.or.Value","ENQ020.Value.Description","ENQ020.Count","ENQ020.Cumulative","ENQ020.Skip.to.Item"
"1","Yes",126,126,"SPAENA"
"2","No",7698,7824,""
"7","Refused",0,7824,"SPAENA"
"9","Don't know",7,7831,"SPAENA"
".","Missing",364,8195,""
