"SPXNFEV3.Code.or.Value","SPXNFEV3.Value.Description","SPXNFEV3.Count","SPXNFEV3.Cumulative","SPXNFEV3.Skip.to.Item"
"424 to 7583","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
