"LBXH2RL.Code.or.Value","LBXH2RL.Value.Description","LBXH2RL.Count","LBXH2RL.Cumulative","LBXH2RL.Skip.to.Item"
"0.07 to 2449.91","Range of Values",1772,1772,NA
".","Missing",223,1995,NA
