"DRD370NQ.Code.or.Value","DRD370NQ.Value.Description","DRD370NQ.Count","DRD370NQ.Cumulative","DRD370NQ.Skip.to.Item"
"1 to 25","Range of Values",94,94,NA
".","Missing",9549,9643,NA
