"PAD660.Code.or.Value","PAD660.Value.Description","PAD660.Count","PAD660.Cumulative","PAD660.Skip.to.Item"
"10 to 720","Range of Values",1906,1906,NA
"7777","Refused",0,1906,NA
"9999","Don't know",0,1906,NA
".","Missing",7201,9107,NA
