"VTQ200A.Code.or.Value","VTQ200A.Value.Description","VTQ200A.Count","VTQ200A.Cumulative","VTQ200A.Skip.to.Item"
"1","Yes",1066,1066,NA
"2","No",2039,3105,NA
"7","Refused",0,3105,NA
"9","Don't know",13,3118,NA
".","Missing",297,3415,NA
