"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 4.162","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
