"AIALANG.Code.or.Value","AIALANG.Value.Description","AIALANG.Count","AIALANG.Cumulative","AIALANG.Skip.to.Item"
"1","English",6660,6660,NA
"2","Spanish",665,7325,NA
".","Missing",3023,10348,NA
