"AUXRR164.Code.or.Value","AUXRR164.Value.Description","AUXRR164.Count","AUXRR164.Cumulative","AUXRR164.Skip.to.Item"
"-16 to 72","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
