"DRD350I.Code.or.Value","DRD350I.Value.Description","DRD350I.Count","DRD350I.Cumulative","DRD350I.Skip.to.Item"
"1","Yes",204,204,""
"2","No",3555,3759,"DRD350J"
".","Missing",6003,9762,""
