"FSD670.Code.or.Value","FSD670.Value.Description","FSD670.Count","FSD670.Cumulative","FSD670.Skip.to.Item"
"1","0-6 months",99,99,NA
"2","7-12 months",74,173,NA
"3","> 12 months",50,223,NA
".","Missing",10816,11039,NA
