"AUXLR264.Code.or.Value","AUXLR264.Value.Description","AUXLR264.Count","AUXLR264.Cumulative","AUXLR264.Skip.to.Item"
"-16 to 43","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
