"DS2INIAC.Code.or.Value","DS2INIAC.Value.Description","DS2INIAC.Count","DS2INIAC.Cumulative","DS2INIAC.Skip.to.Item"
"0.085 to 2000","Range of Values",1500,1500,NA
".","Missing",4199,5699,NA
