"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"1 to 12","Range of Values",3791,3791,NA
"13","13 pounds or more",2,3793,NA
"7777","Refused",1,3794,NA
"9999","Don't know",113,3907,NA
".","Missing",2,3909,NA
