"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"2 to 2144","Range of Values",9004,9004,NA
".","Missing",334,9338,NA
