"BAQ020B.Code.or.Value","BAQ020B.Value.Description","BAQ020B.Count","BAQ020B.Cumulative","BAQ020B.Skip.to.Item"
"1","Yes",520,520,"BAQ030b"
"2","No",300,820,""
"7","Refused",0,820,""
"9","Don't know",2,822,""
".","Missing",2363,3185,""
