"KIQ044.Code.or.Value","KIQ044.Value.Description","KIQ044.Count","KIQ044.Cumulative","KIQ044.Skip.to.Item"
"1","Yes",1214,1214,""
"2","No",3991,5205,"KIQ046"
"7","Refused",2,5207,"KIQ046"
"9","Don't know",21,5228,"KIQ046"
".","Missing",707,5935,""
