"LBCBR2.Code.or.Value","LBCBR2.Value.Description","LBCBR2.Count","LBCBR2.Cumulative","LBCBR2.Skip.to.Item"
"1.838 to 31.82","Range of Values",251,251,NA
".","Missing",0,251,NA
