"WTSCI39.Code.or.Value","WTSCI39.Value.Description","WTSCI39.Count","WTSCI39.Cumulative","WTSCI39.Skip.to.Item"
"0 to 456571.82273","Range of Values",727,727,NA
".","Missing",51,778,NA
