"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.21 to 9730","Range of Values",8280,8280,NA
".","Missing",328,8608,NA
