"DR1TVB2.Code.or.Value","DR1TVB2.Value.Description","DR1TVB2.Count","DR1TVB2.Cumulative","DR1TVB2.Skip.to.Item"
"0 to 15.019","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
