"OPXSF2FO.Code.or.Value","OPXSF2FO.Value.Description","OPXSF2FO.Count","OPXSF2FO.Cumulative","OPXSF2FO.Skip.to.Item"
"0","Good/fair",2172,2172,NA
"1","Borderline",204,2376,NA
"2","Poor",85,2461,NA
".","Missing",473,2934,NA
