"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",6616,6616,NA
"2","Rented",4035,10651,NA
"3","Other arrangement",203,10854,NA
"7","Refused",9,10863,NA
"9","Don't know",2,10865,NA
".","Missing",174,11039,NA
