"DR1IATOC.Code.or.Value","DR1IATOC.Value.Description","DR1IATOC.Count","DR1IATOC.Cumulative","DR1IATOC.Skip.to.Item"
"0 to 131.61","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
