"DR2TMFAT.Code.or.Value","DR2TMFAT.Value.Description","DR2TMFAT.Count","DR2TMFAT.Cumulative","DR2TMFAT.Skip.to.Item"
"0 to 150.244","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
