"SSBDCPPL.Code.or.Value","SSBDCPPL.Value.Description","SSBDCPPL.Count","SSBDCPPL.Cumulative","SSBDCPPL.Skip.to.Item"
"0","At or above the detection limit",2127,2127,NA
"1","Below lower detection limit",172,2299,NA
".","Missing",18,2317,NA
