"MCQ300C.Code.or.Value","MCQ300C.Value.Description","MCQ300C.Count","MCQ300C.Cumulative","MCQ300C.Skip.to.Item"
"1","Yes",2348,2348,NA
"2","No",3723,6071,NA
"7","Refused",2,6073,NA
"9","Don't know",145,6218,NA
".","Missing",3891,10109,NA
