"DSQISODI.Code.or.Value","DSQISODI.Value.Description","DSQISODI.Count","DSQISODI.Cumulative","DSQISODI.Skip.to.Item"
"0.5 to 1820","Range of Values",856,856,NA
".","Missing",8703,9559,NA
