"DED2HDDX.Code.or.Value","DED2HDDX.Value.Description","DED2HDDX.Count","DED2HDDX.Cumulative","DED2HDDX.Skip.to.Item"
"1","Present",60,60,NA
"2","Absent",2628,2688,NA
"9","Not determined, picture missing",7,2695,NA
".","Missing",297,2992,NA
