"WBXF057.Code.or.Value","WBXF057.Value.Description","WBXF057.Count","WBXF057.Cumulative","WBXF057.Skip.to.Item"
"1887.7486 to 1887.7486","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
